"id","parent_id","name","code","slug","description","is_active","sort_order","image","created_at","updated_at"
"1",NULL,"Building Materials","BUILDI","building-materials","Building Materials category","1","1",NULL,"2026-01-14 20:30:21","2026-02-06 05:58:29"
"2","1","Cement","CEMENT","cement","Cement subcategory","1","1",NULL,"2026-01-14 20:30:21","2026-02-06 05:58:29"
"3","1","Sand & Aggregates","SAND&AGG","sand-aggregates","Sand & Aggregates subcategory","1","2",NULL,"2026-01-14 20:30:21","2026-02-06 05:58:29"
"4","1","Bricks & Blocks","BRICKS&B","bricks-blocks","Bricks & Blocks subcategory","1","3",NULL,"2026-01-14 20:30:21","2026-02-06 05:58:29"
"5","1","Lime & Mortar","LIME&MOR","building-materials-lime-mortar","Lime & Mortar under Building Materials","1","4",NULL,"2026-01-14 20:30:21","2026-01-15 18:39:03"
"6","1","Gypsum & Plaster","GYPSUM&P","building-materials-gypsum-plaster","Gypsum & Plaster under Building Materials","1","5",NULL,"2026-01-14 20:30:21","2026-01-15 18:39:03"
"7","1","Reinforcement","REINFORC","building-materials-reinforcement","Reinforcement under Building Materials","1","6",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
"8","1","Adhesives & Construction Chemicals","ADHESIVE","building-materials-adhesives-construction-chemicals","Adhesives & Construction Chemicals under Building Materials","1","7",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
"9",NULL,"Plumbing","PLUMBI","plumbing","Plumbing category","1","2",NULL,"2026-01-14 20:30:22","2026-02-06 05:58:29"
"10","9","Pipes","PIPES","plumbing-pipes","Pipes under Plumbing","1","1",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
"11","9","Fittings","FITTINGS","plumbing-fittings","Fittings under Plumbing","1","2",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
"12","9","Valves","VALVES","valves","Valves subcategory","1","3",NULL,"2026-01-14 20:30:22","2026-02-06 05:58:29"
"13","9","Taps & Mixers","TAPS&MIX","plumbing-taps-mixers","Taps & Mixers under Plumbing","1","4",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
"14","9","Toilets & Sanitary Ware","TOILETS&","plumbing-toilets-sanitary-ware","Toilets & Sanitary Ware under Plumbing","1","5",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
"15","9","Water Tanks","WATERTAN","plumbing-water-tanks","Water Tanks under Plumbing","1","6",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
"16","9","Water Pumps","WATERPUM","plumbing-water-pumps","Water Pumps under Plumbing","1","7",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
"17","9","Hoses & Connectors","HOSES&CO","plumbing-hoses-connectors","Hoses & Connectors under Plumbing","1","8",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
"18","9","Drainage Systems","DRAINAGE","plumbing-drainage-systems","Drainage Systems under Plumbing","1","9",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
"19","9","PVC, PPR, Copper, HDPE","PVC,PPR,","plumbing-pvc-ppr-copper-hdpe","PVC, PPR, Copper, HDPE under Plumbing","1","10",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
"20",NULL,"Electrical","ELECTR","electrical","Electrical category","1","3",NULL,"2026-01-14 20:30:22","2026-02-06 05:58:29"
"21","20","Wires & Cables","WIRES&CA","electrical-wires-cables","Wires & Cables under Electrical","1","1",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
"22","20","Switches & Sockets","SWITCHES","switches-sockets","Switches & Sockets subcategory","1","2",NULL,"2026-01-14 20:30:22","2026-02-06 05:58:29"
"23","20","Circuit Breakers","CIRCUITB","circuit-breakers","Circuit Breakers subcategory","1","3",NULL,"2026-01-14 20:30:22","2026-02-06 05:58:29"
"24","20","Distribution Boards","DISTRIBU","electrical-distribution-boards","Distribution Boards under Electrical","1","4",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
"25","20","Lighting","LIGHTING","electrical-lighting","Lighting under Electrical","1","5",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
"26","20","Bulbs & Fixtures","BULBS&FI","electrical-bulbs-fixtures","Bulbs & Fixtures under Electrical","1","6",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
"27","20","Conduits & Trunking","CONDUITS","electrical-conduits-trunking","Conduits & Trunking under Electrical","1","7",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
"28","39","Power Tools","POWERTOO","electrical-power-tools","Power Tools under Electrical","1","2",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
"29","20","Solar & Backup Systems","SOLAR&BA","electrical-solar-backup-systems","Solar & Backup Systems under Electrical","1","9",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
"30",NULL,"Hardware","HARDWA","hardware","Hardware - top level category","1","4",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
"31","30","Locks & Keys","LOCKS&KE","hardware-locks-keys","Locks & Keys under Hardware","1","1",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
"32","76","Hinges","HINGES","hardware-hinges","Hinges under Hardware","1","2",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
"33","30","Handles","HANDLES","hardware-handles","Handles under Hardware","1","3",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
"34","55","Nails","NAILS","hardware-nails","Nails under Hardware","1","2",NULL,"2026-01-14 20:30:22","2026-01-15 18:39:03"
