"id","sku","barcode","upc","ean","name","slug","description","category_id","store_id","subcategory_id","brand","material","color","specifications","base_unit","weight","weight_unit","length","width","height","dimension_unit","volume","volume_unit","cost_price","buying_price","buying_unit","buying_unit_quantity","wholesale_price","bulk_price","discount_rate","tax_class","quantity_in_stock","quantity_in_transit","quantity_reserved","reorder_point","reorder_quantity","low_stock_threshold","location","pieces_per_package","packages_per_box","boxes_per_pallet","supplier_id","manufacturer_id","country_of_origin","warranty_period","warranty_unit","return_period_days","is_active","is_featured","is_new_arrival","is_public","meta_title","meta_description","created_at","updated_at","deleted_at","image1","image2","image3","image4","image5","image6","product_type","model_number","warehouse_location","bin_number","is_hazardous","is_flammable","is_corrosive","requires_certification","certification_number","tags"
"101","HBK000001","30679071396513",NULL,NULL,"supreme oil 1lt petrol","supreme-oil-1lt-petrol-PM9ih8",NULL,"124",NULL,NULL,"supreme",NULL,NULL,"[]","carton",NULL,"kg",NULL,NULL,NULL,"cm",NULL,"liter","5166.67","62000.00","carton","12.00",NULL,NULL,"0.00","standard","0.000","0.000","0.000","5.000","50.000","1.000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","months","30","1","0","1","1",NULL,NULL,"2026-02-12 08:26:36","2026-02-12 08:26:36",NULL,"products/101/BtTNOi0iIAn5fjB8PVuvibi3hkQ3ae8grAZDYMqs.jpeg",NULL,NULL,NULL,NULL,NULL,"standard",NULL,NULL,NULL,"0","0","0","0",NULL,"[]"
"102","HBK000102","60514384465534",NULL,NULL,"staney oil sae40 disel 20lt[dum]","staney-oil-sae40-disel-20ltdum-epsYc8",NULL,"124",NULL,NULL,NULL,NULL,NULL,"{""buying_unit"":""carton"",""buying_qty"":1}","carton",NULL,"kg",NULL,NULL,NULL,"cm",NULL,"liter","76000.00","76000.00","carton","1.00",NULL,NULL,"0.00","standard","0.000","0.000","0.000","2.000","50.000","2.000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","months","30","1","0","1","1",NULL,NULL,"2026-02-12 08:30:35","2026-02-12 08:39:33",NULL,"products/102/8oDdxwJmbqYFmwkZw0uchNMNzhAYyTgC0a47zFgs.jpeg",NULL,NULL,NULL,NULL,NULL,"standard",NULL,NULL,NULL,"0","0","0","0",NULL,"""[]"""
"103","HBK000103","59510401395165",NULL,NULL,"hexagen oil sae40 petrol [dumu]","hexagen-oil-sae40-petrol-dumu-AmwY2A",NULL,"124",NULL,NULL,NULL,NULL,NULL,"[]","carton",NULL,"kg",NULL,NULL,NULL,"cm",NULL,"liter","76000.00","76000.00","carton","1.00",NULL,NULL,"0.00","standard","0.000","0.000","0.000","2.000","50.000","2.000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","months","30","1","0","1","1",NULL,NULL,"2026-02-12 08:35:24","2026-02-12 08:35:24",NULL,"products/103/I1bGhDQ0WEoVgxSZih8jpIHl5fgdNQdNVw9Gd6OG.jpeg",NULL,NULL,NULL,NULL,NULL,"standard",NULL,NULL,NULL,"0","0","0","0",NULL,"[]"
"104","HBK000104","98756697170424",NULL,NULL,"magic oil ep140","magic-oil-ep140-rr2pNc",NULL,"124",NULL,NULL,NULL,NULL,NULL,"{""buying_unit"":""carton"",""buying_qty"":1}","carton",NULL,"kg",NULL,NULL,NULL,"cm",NULL,"liter","88000.00","88000.00","carton","1.00",NULL,NULL,"0.00","standard","0.000","0.000","0.000","2.000","50.000","2.000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","months","30","1","0","1","1",NULL,NULL,"2026-02-12 08:38:51","2026-02-12 08:42:43",NULL,"products/104/AKABp9R2RHHSDrixOgwjig9UTl9szv21fXYIIq1M.jpeg",NULL,NULL,NULL,NULL,NULL,"standard",NULL,NULL,NULL,"0","0","0","0",NULL,"""[]"""
"105","HBK000105","82281843078993",NULL,NULL,"magic oil ep90","magic-oil-ep90-B1IZBJ",NULL,"124",NULL,NULL,NULL,NULL,NULL,"[]","carton",NULL,"kg",NULL,NULL,NULL,"cm",NULL,"liter","88000.00","88000.00","carton","1.00",NULL,NULL,"0.00","standard","0.000","0.000","0.000","2.000","50.000","2.000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","months","30","1","0","1","1",NULL,NULL,"2026-02-12 08:41:53","2026-02-12 08:41:53",NULL,"products/105/sooVVw5rGho0FmRFKotDseI8loPlSZmfrOvUdHfr.jpeg",NULL,NULL,NULL,NULL,NULL,"standard",NULL,NULL,NULL,"0","0","0","0",NULL,"[]"
"106","HBK000106","78979755339629",NULL,NULL,"mogas turbofleet 20lt [15W-40]","mogas-turbofleet-20lt-15w-40-ZICKbT",NULL,"124",NULL,NULL,NULL,NULL,NULL,"[]","carton",NULL,"kg",NULL,NULL,NULL,"cm",NULL,"liter","165000.00","165000.00","carton","1.00",NULL,NULL,"0.00","standard","0.000","0.000","0.000","2.000","50.000","0.000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","months","30","1","0","1","1",NULL,NULL,"2026-02-12 08:51:26","2026-02-12 08:51:26",NULL,"products/106/iq2QKNQnUqnh8UrJpdujwWSXqOfkC6In62zVvPfH.jpeg",NULL,NULL,NULL,NULL,NULL,"standard",NULL,NULL,NULL,"0","0","0","0",NULL,"[]"
"107","HBK000107","33747708302933",NULL,NULL,"mogas duramax sae40  20lt","mogas-duramax-sae40-20lt-caVcxt",NULL,"124",NULL,NULL,NULL,NULL,NULL,"[]","carton",NULL,"kg",NULL,NULL,NULL,"cm",NULL,"liter","150000.00","150000.00","carton","1.00",NULL,NULL,"0.00","standard","0.000","0.000","0.000","2.000","50.000","1.000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","months","30","1","0","1","1",NULL,NULL,"2026-02-12 08:57:07","2026-02-12 08:57:07",NULL,"products/107/7Ux0e3ccMRzxUo2BLorbmo3M6b0BjhQlsPF1Yv56.jpeg",NULL,NULL,NULL,NULL,NULL,"standard",NULL,NULL,NULL,"0","0","0","0",NULL,"[]"
"108","HBK000108","50884634712837",NULL,NULL,"crown disel sae40 20lt","crown-disel-sae40-20lt-p5EUXN",NULL,"124",NULL,NULL,"crown",NULL,NULL,"[]","carton",NULL,"kg",NULL,NULL,NULL,"cm",NULL,"liter","76000.00","76000.00","carton","1.00",NULL,NULL,"0.00","standard","0.000","0.000","0.000","2.000","50.000","2.000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","months","30","1","0","1","1",NULL,NULL,"2026-02-12 09:00:27","2026-02-12 09:00:27",NULL,"products/108/u56AKtJ5FBxB56qH7lgbpL2CGeypRGe8gYYqvrBN.jpeg",NULL,NULL,NULL,NULL,NULL,"standard",NULL,NULL,NULL,"0","0","0","0",NULL,"[]"
"109","HBK000109","86149738914247",NULL,NULL,"edura grease 20lt","edura-grease-20lt-MHqmns",NULL,"124",NULL,NULL,"endura",NULL,NULL,"[]","carton",NULL,"kg",NULL,NULL,NULL,"cm",NULL,"liter","193000.00","193000.00","carton","1.00",NULL,NULL,"0.00","standard","0.000","0.000","0.000","10.000","50.000","10.000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","months","30","1","0","1","1",NULL,NULL,"2026-02-12 09:04:28","2026-02-12 09:04:28",NULL,"products/109/80ONfgJBGJAfyHowC7DYXteFABhyHcT6YfbfFQVa.jpeg",NULL,NULL,NULL,NULL,NULL,"standard",NULL,NULL,NULL,"0","0","0","0",NULL,"[]"
"110","HBK000110","36440279905254",NULL,NULL,"magic grease","magic-grease-aqazw5",NULL,"124",NULL,NULL,"magic",NULL,NULL,"[]","carton",NULL,"kg",NULL,NULL,NULL,"cm",NULL,"liter","85000.00","85000.00","carton","1.00",NULL,NULL,"0.00","standard","0.000","0.000","0.000","10.000","50.000","10.000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","months","30","1","0","1","1",NULL,NULL,"2026-02-12 09:06:26","2026-02-12 09:06:26",NULL,"products/110/FXyYhDRGpuPuyVgGfMr1qqeKtkT6ebhAlmVhweIM.jpeg",NULL,NULL,NULL,NULL,NULL,"standard",NULL,NULL,NULL,"0","0","0","0",NULL,"[]"
"111","HBK000111","72726810363790",NULL,NULL,"rubia tir 7400 20lt","rubia-tir-7400-20lt-dpO2po",NULL,"124",NULL,NULL,"total",NULL,NULL,"[]","carton",NULL,"kg",NULL,NULL,NULL,"cm",NULL,"liter","195000.00","195000.00","carton","1.00",NULL,NULL,"0.00","standard","0.000","0.000","0.000","2.000","50.000","1.000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","months","30","1","0","1","1",NULL,NULL,"2026-02-12 09:08:50","2026-02-12 09:08:50",NULL,"products/111/UxFCmPAWpClyVSRz27WVveaE1z2u1tHvtqSLRCVv.jpeg",NULL,NULL,NULL,NULL,NULL,"standard",NULL,NULL,NULL,"0","0","0","0",NULL,"[]"
"112","HBK000112","25235258892968",NULL,NULL,"crown petrol oil sae40 20lt","crown-petrol-oil-sae40-20lt-Lnplbc",NULL,"124",NULL,NULL,"crown",NULL,NULL,"[]","carton",NULL,"kg",NULL,NULL,NULL,"cm",NULL,"liter","76000.00","76000.00","carton","1.00",NULL,NULL,"0.00","standard","0.000","0.000","0.000","10.000","50.000","10.000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","months","30","1","0","1","1",NULL,NULL,"2026-02-12 09:11:12","2026-02-12 09:11:12",NULL,"products/112/4eqjBbIqVxbJ6gpX0i9cvftdesFTehZ4oMMn1Vt8.jpeg",NULL,NULL,NULL,NULL,NULL,"standard",NULL,NULL,NULL,"0","0","0","0",NULL,"[]"
"113","HBK000113","84215217364793",NULL,NULL,"oxide maji ya betri","oxide-maji-ya-betri-1BOrpr",NULL,"124",NULL,NULL,"oxide",NULL,NULL,"[]","carton",NULL,"kg",NULL,NULL,NULL,"cm",NULL,"liter","2166.67","26000.00","carton","12.00",NULL,NULL,"0.00","standard","0.000","0.000","0.000","5.000","50.000","5.000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","months","30","1","0","1","1",NULL,NULL,"2026-02-12 09:15:33","2026-02-12 09:15:33",NULL,"products/113/QUukM6e3AMQVA4JSSASi49aC1IGfWekjtl7TZMMg.jpeg",NULL,NULL,NULL,NULL,NULL,"standard",NULL,NULL,NULL,"0","0","0","0",NULL,"[]"
"114","HBK000114","48104918552248",NULL,NULL,"endura grease 500g [ndogo]","endura-grease-500g-ndogo-wqc7ts",NULL,"124",NULL,NULL,"endura",NULL,NULL,"[]","carton",NULL,"kg",NULL,NULL,NULL,"cm",NULL,"liter","7333.33","176000.00","carton","24.00",NULL,NULL,"0.00","standard","0.000","0.000","0.000","10.000","50.000","10.000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","months","30","1","0","1","1",NULL,NULL,"2026-02-12 09:19:46","2026-02-12 09:19:46",NULL,"products/114/Xs9EGERa7AhEo2aowRBJ6IuJFXUbpMwd0RKhvmEZ.jpeg",NULL,NULL,NULL,NULL,NULL,"standard",NULL,NULL,NULL,"0","0","0","0",NULL,"[]"
"115","HBK000115","35359062806133",NULL,NULL,"oko","oko-TMvldx",NULL,"124",NULL,NULL,NULL,NULL,NULL,"[]","carton",NULL,"kg",NULL,NULL,NULL,"cm",NULL,"liter","2125.00","51000.00","carton","24.00",NULL,NULL,"0.00","standard","0.000","0.000","0.000","10.000","50.000","10.000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","months","30","1","0","1","1",NULL,NULL,"2026-02-12 09:24:54","2026-02-12 09:24:54",NULL,"products/115/wRrGzwNVVPNhWIeXfVCjgZOYBfAsTbobCxYAHggQ.jpeg",NULL,NULL,NULL,NULL,NULL,"standard",NULL,NULL,NULL,"0","0","0","0",NULL,"[]"
"116","HBK000116","55206555526338",NULL,NULL,"mogas turbofleet 5lt [15W-40]","mogas-turbofleet-5lt-15w-40-B0uREn",NULL,"124",NULL,NULL,"mogas",NULL,NULL,"[]","carton",NULL,"kg",NULL,NULL,NULL,"cm",NULL,"liter","41250.00","165000.00","carton","4.00",NULL,NULL,"0.00","standard","0.000","0.000","0.000","10.000","50.000","10.000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","months","30","1","0","1","1",NULL,NULL,"2026-02-12 09:30:07","2026-02-12 09:30:07",NULL,"products/116/0ilIU5uKDJg3hVJLDBi7v4FWV1laq81mwz8ev4Iz.jpeg",NULL,NULL,NULL,NULL,NULL,"standard",NULL,NULL,NULL,"0","0","0","0",NULL,"[]"
"117","HBK000117","56609910850078",NULL,NULL,"mogas duramax sae40  5lt","mogas-duramax-sae40-5lt-Ceiyxi",NULL,"124",NULL,NULL,"mogas",NULL,NULL,"[]","carton",NULL,"kg",NULL,NULL,NULL,"cm",NULL,"liter","37500.00","150000.00","carton","4.00",NULL,NULL,"0.00","standard","0.000","0.000","0.000","2.000","50.000","1.000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","months","30","1","0","1","1",NULL,NULL,"2026-02-12 09:33:23","2026-02-12 09:33:23",NULL,"products/117/CKHLLJ4z79MHPP3KSXJdzK5xF5x6LWNHvNuDiDbD.jpeg",NULL,NULL,NULL,NULL,NULL,"standard",NULL,NULL,NULL,"0","0","0","0",NULL,"[]"
"118","HBK000118","67571878262534",NULL,NULL,"total hi-perf[4t] 1lt","total-hi-perf4t-1lt-Z3scgY",NULL,"124",NULL,NULL,"total",NULL,NULL,"[]","carton",NULL,"kg",NULL,NULL,NULL,"cm",NULL,"liter","9416.67","113000.00","carton","12.00",NULL,NULL,"0.00","standard","0.000","0.000","0.000","10.000","50.000","10.000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","months","30","1","0","1","1",NULL,NULL,"2026-02-12 09:37:58","2026-02-12 09:37:58",NULL,"products/118/k4SjVjGSrqr3zuHOXsoVdswgeopJS9DBJwd9JO8a.jpeg",NULL,NULL,NULL,NULL,NULL,"standard",NULL,NULL,NULL,"0","0","0","0",NULL,"[]"
